true,pred,confidence,text,reason
app_bug,refund_request,0.264,Wells Fargo took {$600.00} from my account TWICE and made it very difficult for me to get my money back. On XXXX/XXXX/16 I deposited severa…,refund vs billing overlap
delivery_issue,app_bug,0.295,"Regarding Citizens Bank, XXXX, XXXX On XX/XX/XXXX I closed my personal savings account after undesirable help at this office. I then filed …",vague app wording
delivery_issue,app_bug,0.26,My Way2Go prepaid Mastercard ( goprogram.com - XXXX  child support ) expired and I did not receive a replacement card. The only way to cont…,vague app wording
app_bug,refund_request,0.387,This is regarding Paypal. I purchased several items from a tack store online and used Paypal to make the transaction. Paypal has my credit …,refund vs billing overlap
billing_problem,other,0.289,I do not know what Monterey Collection Services is so this is another debt collector that has put unauthorized information on my credit rep…,low confidence
delivery_issue,billing_problem,0.462,"I have been with Synchrony Bank. For quit sometime I have serval credit cards with this company. a Sam 's club credit card, Care credit cre…",low confidence
billing_problem,other,0.242,On XX/XX/2017 deposit XXXX XXXX debit card checks each ( {$2500.00} ) totaling $ XXXX US bank Atm. Unable to access Acct on XX/XX/XXXX. Cal…,low confidence
billing_problem,refund_request,0.325,"XXXX XX/XX/2022, my XXXX yo mother got a call on her cellphone, caller ID and caller identities themself as Bank of America XXXX Department…",low confidence
app_bug,billing_problem,0.897,"Subject : Dispute of Interest Charges on Best Buy Credit Card Account Dear Sir/Madam, I formally disputed the interest charges that have be…",vague app wording
delivery_issue,billing_problem,0.37,On XX/XX/21 I was approved for a revolving credit limit for XXXX through Citi XXXX XXXX AAdvantage credit card. I used this credit card to …,vague app wording
other,billing_problem,0.287,A XXXX XXXX credit was opened through I believe XXXX  bank in my name. And a debt was owed from that credit card that I was fully unaware o…,low confidence
refund_request,billing_problem,0.536,I bank with Wells Fargo and have been for over 10 years. I was viewing my last statement from XXXX to XXXX and I paid {$240.00} in overdraf…,refund vs billing overlap
other,app_bug,0.279,I applied for a credit card and received a letter saying I needed to call a number to activate it. They answered with a 'hello ' instead of…,vague app wording
other,refund_request,0.279,My account was closed without notice leaving me and my family stranded on a trip with NO access to money or funds. I called usaa to see why…,low confidence
app_bug,refund_request,0.357,I hired a digital XXXX XXXX named XXXX XXXX for a custom project. I paid him {$1500.00} in total {$750.00} in XXXX and {$750.00} earlier th…,weak delivery cues
refund_request,billing_problem,0.366,"On XXXX XXXX, 2016 I made a transaction with XXXX XXXX XXXX for XXXX cents, they charged me the XXXX cents and {$19.00} on my Debit card. I…",low confidence
billing_problem,refund_request,0.343,I had a group of invalid transactions for which the merchant owed me full refund. Capitalone recovered these amounts through the XXXX Dispu…,refund vs billing overlap
billing_problem,app_bug,0.301,"XXXX XXXX XXXX, I deposited {$100.00} into fiat account to make trades. I immediately withdrew the funds XXXX XX/XX/2021 at XXXX because th…",vague app wording
refund_request,app_bug,0.389,I was a victim of a fraudulent phone scam on XX/XX/XXXX. The unidentified scammer impersonated a XXXX XXXX law enforcement officer and pers…,refund vs billing overlap
refund_request,billing_problem,0.313,"On XX/XX/2020, I received a letter from BB & T notifying me that my checking account will be closed and the remaining balance will be refun…",refund vs billing overlap
other,billing_problem,0.233,"After years of being an exemplary customer, who has never missed a payment and always paid off every single balance in full, my account was…",vague app wording
app_bug,billing_problem,0.358,"I received an account update that my account was late. The account wasnt late, the payment went to another credit card. I received two late…",low confidence
other,refund_request,0.33,I sold a XXXX channel by using a famous trusted escrow service of XXXX. They transferred the payment ( XXXX XXXX ) to my paypal account. Th…,low confidence
billing_problem,refund_request,0.482,I sent {$2000.00} to someone on accident. They would not send it back and the bank would not refund the money.,low confidence
app_bug,refund_request,0.412,I have a Chase checking account. In XXXX I opened a XXXX Bank account. This year I set up an XXXX withdrawl of {$100.00} to be transferred …,weak delivery cues
delivery_issue,app_bug,0.226,I filed a complaint against TD Bank less than a month ago about their unfulfilled account opening bonus payments contractual obligations.  …,vague app wording
refund_request,billing_problem,0.464,"US Supreme Court versus American Express [ et.al ] XX/XX/XXXX : "" 6 % might be anti-trusting but 100 % is definitely not trustworthy ... ''…",refund vs billing overlap
other,refund_request,0.269,"Every since XX/XX/ I have had several problems with my child 's ssa check and all of the money I was getting from unemployment, child suppo…",vague app wording
billing_problem,app_bug,0.255,I am writing to report an ongoing issue with Capital One Bank that occurred over the last week involving my 360 Capital One Checking Accoun…,vague app wording
refund_request,billing_problem,0.459,"Regions Bank has charged me outrages NSF fees over the last couple of months, each time they take more and more money, they charge my accou…",refund vs billing overlap
refund_request,billing_problem,0.383,"Was overcharged by XXXX in XXXX of 2019, using my Citibank debit card for payment. Citbank agreed to refund the amount in question but neve…",refund vs billing overlap
other,billing_problem,0.328,"XXXX closed my ac after being paid off and full, then sent me a small remainder XXXX to collections, which I paid and told them it was paid…",low confidence
refund_request,billing_problem,0.257,"after opening a checking account with "" Discover Bank '' on XX/XX/2022, they froze my account on XX/XX/XXXX, XXXX took me 7 days to get my …",refund vs billing overlap
billing_problem,refund_request,0.392,"On XX/XX/XXXX, I used PayPal to send money to my friend. I sent her {$1700.00}. After sending her the money, I contacted her to verify that…",low confidence
app_bug,billing_problem,0.301,My complaint is against Chevron Credit Card. I have had this card for over 20 years and have always paid my bill on time and there was no o…,vague app wording
app_bug,refund_request,0.236,On XX/XX/XXXX I initiated an online ACH transfer from my account at [ Navy federal credit union ] to an XXXX XXXX Bank account. The purpose…,vague app wording
app_bug,delivery_issue,0.266,"OnXX/XX/XXXX I received an email from TD Bank "" thanking '' me for opening a checking account with them. I never opened any checking accoun…",low confidence
other,refund_request,0.284,Im reporting fraud on my debit cars and the information was stolen and used to send {$1000.00} on XXXX. I am protected by the FDIC which my…,low confidence
refund_request,billing_problem,0.711,"I am filing a complaint concerning a very misleading promotional mailer sent to me by Bank of America on XX/XX/XXXX, offering the opportuni…",refund vs billing overlap
other,app_bug,0.31,Bank of America has submitted a false and inaccurate report to the consumer credit agencies and has caused me great financial and personal …,low confidence
billing_problem,refund_request,0.239,"Bellow is my communication with XXXX who has been no help. They resolved the fraudulent accounts, have told me they sent the credit balance…",refund vs billing overlap
refund_request,billing_problem,0.351,I tried to go for a virtual visit with XXXX  since they could not provide services they said I would not be charged and fully refunded. I w…,refund vs billing overlap
billing_problem,app_bug,0.254,"Chase bank closed my account due to a check that I deposited for {$260.00}. Initially the check was on a hold, then the funds cleared, but …",low confidence
delivery_issue,app_bug,0.311,On XX/XX/year> I was supposed to received my direct deposit of my payroll check from my employer. I did not received it. At XXXX on XX/XX/y…,weak delivery cues
billing_problem,refund_request,0.43,"I have a prepaid credit card from Chime. I purchased a subscription for XXXX on the XXXX of XXXX, by mistake with my XXXX  XXXX. So I immed…",refund vs billing overlap
app_bug,billing_problem,0.322,Even though Wells Fargo states that they include pending bill pay transactions in their available balance calculations they do not. A user …,vague app wording
app_bug,billing_problem,0.304,I tried to purchase an item on the XXXX website with my Citi credit card but it was repeatedly denied. I called XXXX  customer service and …,vague app wording
other,app_bug,0.23,"Please refer to my CFPB complaint "" XXXX '' dated XX/XX/2018.  Wells Fargo denied me the {$200.00} cash back bonus with the reason that the…",vague app wording
billing_problem,refund_request,0.255,XXXX XXXX issued me a Bank of America prepaid visa card in the amount of {$450.00} in XX/XX/XXXX. The prepaid card says it is valid through…,low confidence
delivery_issue,refund_request,0.261,"On XXXX XXXX, 2016 my wife and I attended a scheduled closing for the sale of our home in XXXX, Ohio to XXXX and XXXX XXXX. The loan was sc…",vague app wording
billing_problem,other,0.298,Jefferson credit systems took over my credit card account. I lost job and had baby and got way behind on the card. Meanwhile Jefferson has …,low confidence
refund_request,billing_problem,0.282,"I used Affirm to finance a purchase from a company called XXXX XXXX ( XXXX ), which claimed to sell XXXX software. After payment, I was giv…",refund vs billing overlap
billing_problem,refund_request,0.282,On XX/XX/year> I was called by a number that said XXXX XXXX XXXX early in the morning to alert me that my debit card was red flagged for su…,low confidence
app_bug,billing_problem,0.549,"When I make my payment via their website on the same day that it is due, the payment should be credited to my account that same day. Instea…",vague app wording
other,app_bug,0.391,U.S. Bank has frozen my small business checking account without providing any specific reason or timeline for resolution. After hours on ho…,low confidence
other,app_bug,0.262,On XX/XX/2021 I was using Gemini to transact some Crypto currency and transferred money to my account. Unfortunately on two transactions I …,low confidence
app_bug,refund_request,0.321,To whom it may concern my name is XXXX XXXX. When applying for unemployment I was given the option to receive direct deposit I checked to h…,vague app wording
refund_request,billing_problem,0.339,"I called Macy 's to settle an old account I had with them. I asked them how they preferred payment, and they told me to send a money order …",vague app wording
delivery_issue,refund_request,0.344,"On XX/XX/XXXX, I had bought a watch from a company in XXXX for XXXX $ using Paypal. The watch was shipped and arrived to me on XX/XX/XXXX. …",vague app wording
refund_request,billing_problem,0.353,"On XX/XX/XXXX I was charged an amount of {$880.00} by XXXX XXXX XXXX ( merchant ), a whopping {$700.00} more than what I should have paid f…",refund vs billing overlap
refund_request,app_bug,0.659,This is not a duplicate complaint. Wise failed to provide any legal reasoning for why the fraudulent reversal transactions were conducted n…,refund vs billing overlap
app_bug,refund_request,0.301,Mine and my daughter 's PNC bank account back in XX/XX/XXXX had an unauthorized user deposit 2 fraudulent checks ( XXXX and XXXX - made out…,vague app wording
refund_request,billing_problem,0.319,I have been a loyal member of the US Bank XXXX XXXX XXXX Visa Credit Card and the main reason for maintaining this credit card and paying t…,refund vs billing overlap
other,app_bug,0.302,Yesterday I bought an AMEX gift card aand now I can't even use the card at all.,low confidence
delivery_issue,app_bug,0.444,"I recently borrowed an amount from my friend, which was sent to me via XXXX. The amount was successfully debited from his account, and I re…",low confidence
billing_problem,refund_request,0.354,On XX/XX/2021 I made a XXXX transfer of {$500.00} thru Bank of America to a friend XXXX XXXX XXXX who has account with XXXX Bank. About 20 …,low confidence
delivery_issue,refund_request,0.417,"I went to XXXX on XX/XX/XXXX to purchase money orders totaling {$3200.00}. However, I later decided that I no longer needed them, so I retu…",weak delivery cues
refund_request,app_bug,0.319,"- I opened a bank account with Laurel Road Bank - After months of having only small deposits, I made a larger XXXX  deposit of XXXX XXXXXXX…",vague app wording
other,app_bug,0.333,I contacted Wealthfront one week ago and they stated my account is closed. They mentioned I'd receive the funds back to my funding source. …,low confidence
delivery_issue,app_bug,0.452,"I received a mailing from Chase Bank to applyo for XXXX XXXX XXXX XXXX with an "" Invitation-only offer : XXXX Bonus miles. Do n't miss out.…",vague app wording
app_bug,billing_problem,0.333,"As an American Express customer, I booked a hotel through XXXX, a service Amex heavily promotes and integrates with. I trusted this platfor…",vague app wording
other,app_bug,0.232,Funds were sent to the wrong account and there were no disclosures stating once something like this happened it could no longer be corrected,vague app wording
refund_request,billing_problem,0.328,PayPal once again has dishonestly decided in the buyers favor and refunded our duly earned {$300.00} consultation fee even though we told t…,refund vs billing overlap
refund_request,app_bug,0.396,"On XX/XX/year>, an unauthorized interbank transfer was made from my XXXX XXXX XXXX  account to a company called "" XXXX XXXX '' located at X…",low confidence
billing_problem,refund_request,0.278,"On XX/XX/year>, I received XXXX XXXX payments to my XXXX XXXX checking account ( ending in XXXX ) from senders using Bank of America : {$60…",low confidence
other,refund_request,0.339,"Hello, There was a unauthorized bank withdrawal transaction to my account and after the fact my direct despoit check ; from my XXXX Job is …",low confidence
refund_request,billing_problem,0.597,Wells Fargo continues to over charge me with overdraft fees even though I did not consent to them. Something has to be done about it. I nev…,refund vs billing overlap
refund_request,app_bug,0.44,"My Skylight prepaid payroll card has been locked for over a month. Since then, every time I try to log in, I receive a message telling me t…",low confidence
app_bug,refund_request,0.353,"On XX/XX/XXXX, I received a fraud check from a fake company that contacted me through a XXXX  contact, I deposited in my Wells Fargo accoun…",vague app wording
app_bug,refund_request,0.293,XXXX the XXXX I called Chime because my account had been hacked into some one took XXXX out my savings and sent it to. Checking and transfe…,low confidence
